"Scan Number","Fragment Type","Fragment Bond Number","Neutral Loss","Fragment Charge",Intensity,"Experimental Mz","Theoretical Mz","Mass Error (ppm)","% Base Peak","% TIC","Processing Time"
49881,y,1," -NH3",1,95047.75,130.08655,130.08625204979,2.2904050682658,18.250297824837%,0.64553460177155%,1.9999999999465E-6
49881,y,1," ",1,134771.38,147.11282,147.11280115091,0.12812679008606,25.877706976381%,0.91532507732694%,2.0000000000575E-6
49881,b,2," -NH3",1,89585.68,169.06065,169.06077136576,-0.71788243958281,17.201515457658%,0.60843793002184%,4.000000000004E-6
49881,b,2," ",1,490917.31,186.08752,186.08732046688,1.0722553289445,94.261959013949%,3.3341568865503%,6.9999999999792E-6
49881,b,5," ",2,69838.43,242.14963,242.14991946688,-1.1954035733815,13.409808723711%,0.47432078190594%,5.0000000000328E-6
49881,y,2," ",1,104170.84,246.18141,246.18121515091,0.79148642955143,20.002039550263%,0.70749577676071%,4.9999999999217E-6
49881,b,3," ",1,520801.09,285.15601,285.15573446688,0.96625488354072,100%,3.5371181772881%,5.9999999999505E-6
49881,y,3," -NH3",1,81739.91,343.19858,343.19759604979,2.8670078764012,15.695034355631%,0.55515191312464%,7.999999999897E-6
49881,y,3," ",1,214338.17,360.22464,360.22414515091,1.3737254919574,41.155476460312%,1.4557178388272%,6.9999999999792E-6
49881,b,4," -NH3",1,39386.87,367.19788,367.19759936576,0.76425946541788,7.5627472285052%,0.26750330692181%,7.999999999897E-6
49881,b,4," ",1,328629.5,384.22449,384.22414846688,0.88889030625726,63.100770392013%,2.2319488195447%,8.000000000008E-6
49881,y,4," -NH3",1,11361.34,442.26807,442.26601004979,4.6577176725831,2.1815123313202%,0.077162669210909%,9.0000000000368E-6
49881,y,4," ",1,131654.72,459.29187,459.29255915091,-1.5004617323394,25.279271208899%,0.89415769701592%,8.9999999999257E-6
49881,b,5," -NH3",1,58509.68,466.26575,466.26601336576,-0.56484013727626,11.234554059785%,0.39737945378592%,9.9999999999545E-6
49881,b,5," ",1,83814.44,483.29465,483.29256246688,4.3193983998335,16.093368775399%,0.56924147229267%,1.0000000000066E-5
49881,y,5," ",1,168663.06,572.37781,572.37661915091,2.0805341292071,32.385312404012%,1.1455067718139%,1.0999999999983E-5
49881,b,6," ",1,125716.55,620.35394,620.35147246688,3.9776372434623,24.139071982357%,0.85382750291662%,1.0999999999983E-5
49881,b,12," ",2,64808.81,652.30688,652.30534982688,2.3457926896882,12.444061897029%,0.44016117535279%,1.2000000000012E-5
49881,b,13," ",2,63016.71,680.81873,680.81608182688,3.889704123883,12.099957394482%,0.42798979244436%,1.3000000000041E-5
49881,y,6," ",1,76489.63,687.40918,687.40355915091,8.1769275357214,14.686918185982%,0.51949365283979%,1.299999999993E-5
49881,b,14," -NH3",2,12201.28,736.33105,736.33209727632,-1.4222880178675,2.3427907956183%,0.08286727908765%,1.400000000007E-5
49881,b,14," ",2,111097.55,744.84552,744.84537182688,0.19893138446964,21.332050207499%,0.75453982547766%,1.4999999999987E-5
49881,b,7," ",1,84182.53,780.38971,780.38212618688,9.7180763967719,16.164046430855%,0.57174142449107%,1.4999999999987E-5
49881,b,15," -NH3",2,32610.83,793.35016,793.35356227632,-4.2884742452596,6.2616670022714%,0.2214825617386%,1.6000000000016E-5
49881,b,15," ",2,199387.69,801.86871,801.86683682688,2.3360152022382,38.284806585178%,1.3541788528639%,1.6000000000016E-5
49881,y,14," ",2,82365.08,806.41345,806.40990680889,4.3937841984601,15.815074426976%,0.5593978723082%,1.6000000000016E-5
49881,y,7," ",1,84233.38,850.47711,850.46688915091,12.017927119021,16.173810235305%,0.57208678179306%,1.8000000000074E-5
49881,b,17," -NH3",2,15662.52,899.38678,899.39341427632,-7.3763897020047,3.0073900190954%,0.10637493902737%,1.7999999999962E-5
49881,b,17," ",2,133266.45,907.91284,907.90668882688,6.7751159857029,25.588742527401%,0.90510406327617%,1.7999999999962E-5
